# Wavelength Var_Radius_1 Var_Radius_2 Var_Radius_3 Var_Radius_4
4.599749023437500000e+03 5.015501464843750000e+03 3.798104858398437500e+02 1.423394317626953125e+02 7.042169952392578125e+01
4.600999023437500000e+03 2.553822021484375000e+03 1.626127166748046875e+02 5.786456680297851562e+01 5.181085586547851562e+01
4.602249023437500000e+03 2.421716796875000000e+03 1.728045349121093750e+02 5.062506484985351562e+01 2.952499198913574219e+01
4.603499023437500000e+03 2.175117187500000000e+03 1.769961395263671875e+02 5.637041091918945312e+01 5.270814514160156250e+01
4.604749023437500000e+03 2.290010253906250000e+03 1.610007629394531250e+02 6.117887878417968750e+01 5.028291320800781250e+01
4.605999023437500000e+03 2.205106933593750000e+03 1.522140197753906250e+02 5.547414398193359375e+01 4.566443634033203125e+01
4.607249023437500000e+03 2.356502197265625000e+03 1.800973052978515625e+02 5.066837692260742188e+01 4.432903671264648438e+01
4.608499023437500000e+03 2.187917236328125000e+03 1.850924224853515625e+02 6.465732574462890625e+01 4.969477462768554688e+01
4.609749023437500000e+03 2.290795410156250000e+03 1.657264862060546875e+02 5.649970626831054688e+01 5.581294250488281250e+01
4.610999023437500000e+03 2.185198486328125000e+03 1.774907379150390625e+02 5.971432113647460938e+01 4.923176956176757812e+01
4.612249023437500000e+03 2.373204833984375000e+03 1.600566558837890625e+02 6.740325927734375000e+01 4.793717575073242188e+01
4.613499023437500000e+03 2.055587646484375000e+03 1.613218994140625000e+02 8.609938049316406250e+01 3.798412322998046875e+01
4.614749023437500000e+03 1.992062133789062500e+03 1.591101226806640625e+02 7.420462799072265625e+01 3.919295120239257812e+01
4.615999023437500000e+03 1.862654174804687500e+03 1.919296264648437500e+02 8.985068511962890625e+01 2.883721351623535156e+01
4.617249023437500000e+03 1.912386352539062500e+03 1.861257781982421875e+02 6.710144805908203125e+01 4.493468093872070312e+01
4.618499023437500000e+03 1.836792968750000000e+03 1.968793182373046875e+02 8.374272155761718750e+01 4.593202590942382812e+01
4.619749023437500000e+03 1.863984497070312500e+03 1.695607910156250000e+02 9.035757446289062500e+01 5.065485000610351562e+01
4.620999023437500000e+03 1.559612792968750000e+03 1.778518524169921875e+02 6.241641616821289062e+01 5.938097763061523438e+01
4.622249023437500000e+03 1.469095581054687500e+03 1.352791900634765625e+02 7.668342590332031250e+01 6.093161773681640625e+01
4.623499023437500000e+03 1.564095581054687500e+03 1.753761444091796875e+02 6.817302703857421875e+01 3.958746719360351562e+01
4.624749023437500000e+03 1.523978515625000000e+03 1.691289215087890625e+02 7.458956146240234375e+01 5.059119796752929688e+01
4.625999023437500000e+03 1.483211303710937500e+03 1.630618591308593750e+02 6.157056045532226562e+01 5.720722579956054688e+01
4.627249023437500000e+03 1.442918090820312500e+03 2.231758117675781250e+02 6.860875701904296875e+01 5.219097137451171875e+01
4.628499023437500000e+03 1.519839965820312500e+03 2.082500000000000000e+02 6.362834930419921875e+01 3.993715286254882812e+01
4.629749023437500000e+03 1.603998657226562500e+03 1.690881958007812500e+02 5.308281326293945312e+01 3.587308883666992188e+01
4.630999023437500000e+03 1.654166015625000000e+03 1.890539245605468750e+02 7.643544769287109375e+01 4.481495666503906250e+01
4.632249023437500000e+03 1.585892089843750000e+03 1.795347442626953125e+02 5.495929336547851562e+01 5.380956268310546875e+01
4.633499023437500000e+03 1.636093872070312500e+03 1.815201721191406250e+02 6.291378402709960938e+01 4.518288803100585938e+01
4.634749023437500000e+03 1.779645019531250000e+03 1.701467285156250000e+02 5.239286041259765625e+01 4.012510299682617188e+01
4.635999023437500000e+03 1.910745605468750000e+03 1.644365386962890625e+02 7.196422576904296875e+01 3.647282791137695312e+01
4.637249023437500000e+03 1.889868774414062500e+03 1.712977905273437500e+02 5.986421585083007812e+01 2.761124992370605469e+01
4.638499023437500000e+03 1.690699218750000000e+03 1.683727722167968750e+02 6.791345977783203125e+01 2.739201354980468750e+01
4.639749023437500000e+03 1.702556640625000000e+03 1.390714416503906250e+02 5.465864562988281250e+01 5.087975692749023438e+01
4.640999023437500000e+03 1.875261108398437500e+03 1.097342071533203125e+02 6.040679931640625000e+01 4.532118606567382812e+01
4.642249023437500000e+03 1.791430419921875000e+03 1.476461486816406250e+02 7.321164703369140625e+01 4.319056701660156250e+01
4.643499023437500000e+03 1.875336669921875000e+03 1.406318206787109375e+02 5.826361083984375000e+01 4.500062561035156250e+01
4.644749023437500000e+03 1.948391235351562500e+03 1.342004241943359375e+02 4.745950698852539062e+01 3.407020568847656250e+01
4.645999023437500000e+03 1.843300659179687500e+03 1.297420959472656250e+02 6.949928283691406250e+01 4.637317657470703125e+01
4.647249023437500000e+03 1.852255737304687500e+03 1.695959472656250000e+02 5.828022003173828125e+01 4.922154617309570312e+01
4.648499023437500000e+03 1.732176635742187500e+03 1.371112670898437500e+02 5.874042510986328125e+01 4.016121673583984375e+01
4.649749023437500000e+03 1.816354980468750000e+03 1.638667449951171875e+02 5.874278259277343750e+01 3.102812957763671875e+01
4.650999023437500000e+03 1.752305664062500000e+03 1.214488983154296875e+02 5.331136703491210938e+01 3.407963180541992188e+01
4.652249023437500000e+03 2.073286132812500000e+03 1.536594390869140625e+02 7.459116363525390625e+01 6.778012847900390625e+01
4.653499023437500000e+03 2.014547485351562500e+03 1.356829986572265625e+02 7.314833831787109375e+01 4.682901382446289062e+01
4.654749023437500000e+03 1.853205200195312500e+03 1.663913879394531250e+02 7.728431701660156250e+01 5.096055984497070312e+01
4.655999023437500000e+03 1.764541137695312500e+03 1.735398712158203125e+02 7.420960235595703125e+01 3.836032485961914062e+01
4.657249023437500000e+03 1.772605224609375000e+03 1.820324859619140625e+02 6.646471405029296875e+01 5.987570953369140625e+01
4.658499023437500000e+03 1.744918334960937500e+03 1.755481262207031250e+02 7.558968353271484375e+01 3.184729194641113281e+01
4.659749023437500000e+03 1.651782226562500000e+03 1.766411437988281250e+02 7.100862121582031250e+01 6.089477157592773438e+01
4.660999023437500000e+03 1.492263671875000000e+03 1.811583709716796875e+02 7.132943725585937500e+01 8.744068908691406250e+01
4.662249023437500000e+03 1.466553955078125000e+03 1.676578521728515625e+02 6.438281250000000000e+01 4.935850524902343750e+01
4.663499023437500000e+03 1.457293701171875000e+03 1.780844726562500000e+02 8.855329132080078125e+01 6.404416656494140625e+01
4.664749023437500000e+03 1.360363769531250000e+03 1.666551361083984375e+02 5.033864212036132812e+01 3.834481811523437500e+01
4.665999023437500000e+03 1.391105834960937500e+03 1.546009979248046875e+02 5.604010772705078125e+01 5.235232543945312500e+01
4.667249023437500000e+03 1.349209716796875000e+03 1.760340118408203125e+02 7.522612762451171875e+01 4.776728820800781250e+01
4.668499023437500000e+03 1.436525878906250000e+03 1.673192749023437500e+02 5.288731002807617188e+01 5.450329971313476562e+01
4.669749023437500000e+03 1.396608398437500000e+03 1.853419189453125000e+02 6.944964599609375000e+01 4.289628601074218750e+01
4.670999023437500000e+03 1.305407592773437500e+03 1.732591400146484375e+02 7.172851562500000000e+01 4.673493576049804688e+01
4.672249023437500000e+03 1.298826416015625000e+03 1.629074707031250000e+02 6.297487258911132812e+01 6.485961914062500000e+01
4.673499023437500000e+03 1.337229614257812500e+03 1.424944763183593750e+02 5.993907546997070312e+01 3.529898452758789062e+01
4.674749023437500000e+03 1.401353149414062500e+03 1.743703765869140625e+02 5.293312072753906250e+01 3.536798477172851562e+01
4.675999023437500000e+03 1.388364501953125000e+03 1.825203552246093750e+02 6.149834442138671875e+01 2.742438888549804688e+01
4.677249023437500000e+03 1.383452636718750000e+03 1.876495513916015625e+02 5.802952194213867188e+01 2.472856330871582031e+01
4.678499023437500000e+03 1.487184692382812500e+03 1.688704681396484375e+02 6.178667068481445312e+01 3.662083053588867188e+01
4.679749023437500000e+03 1.414433837890625000e+03 1.635704650878906250e+02 6.307564926147460938e+01 4.019920349121093750e+01
4.680999023437500000e+03 1.338985473632812500e+03 1.380530700683593750e+02 4.874407958984375000e+01 3.027329063415527344e+01
4.682249023437500000e+03 1.480533691406250000e+03 1.374921722412109375e+02 5.428585433959960938e+01 4.274051284790039062e+01
4.683499023437500000e+03 1.478789794921875000e+03 1.290085906982421875e+02 5.114406967163085938e+01 4.422073364257812500e+01
4.684749023437500000e+03 1.490544921875000000e+03 1.292484436035156250e+02 5.189601135253906250e+01 2.183146667480468750e+01
4.685999023437500000e+03 1.506449096679687500e+03 1.187917861938476562e+02 6.132501983642578125e+01 2.811437416076660156e+01
4.687249023437500000e+03 1.352482543945312500e+03 1.127027282714843750e+02 5.422998428344726562e+01 3.961980056762695312e+01
4.688499023437500000e+03 1.514604248046875000e+03 1.256190032958984375e+02 4.819485092163085938e+01 3.648883056640625000e+01
4.689749023437500000e+03 1.475763916015625000e+03 1.125895690917968750e+02 5.435820007324218750e+01 4.939655303955078125e+01
4.690999023437500000e+03 1.549292114257812500e+03 1.306268157958984375e+02 7.810911560058593750e+01 3.936810684204101562e+01
4.692249023437500000e+03 1.444637451171875000e+03 1.348387756347656250e+02 6.487050628662109375e+01 4.363503646850585938e+01
4.693499023437500000e+03 1.484776489257812500e+03 1.156588745117187500e+02 5.342402648925781250e+01 5.575275421142578125e+01
4.694749023437500000e+03 1.310897094726562500e+03 1.323822479248046875e+02 5.859451675415039062e+01 4.333486938476562500e+01
4.695999023437500000e+03 1.377204833984375000e+03 1.449048004150390625e+02 5.646275711059570312e+01 2.319625473022460938e+01
4.697249023437500000e+03 1.458670288085937500e+03 1.223587112426757812e+02 3.853785324096679688e+01 5.498794937133789062e+01
4.698499023437500000e+03 1.404378784179687500e+03 1.271145858764648438e+02 6.186909103393554688e+01 4.855889129638671875e+01
4.699749023437500000e+03 1.392164672851562500e+03 1.590471191406250000e+02 4.439538192749023438e+01 5.250341796875000000e+01
