# Data1 Data2 Data3 Data4
95.729450 17.671766 0.000000 8.007252
95.459914 18.454622 2.000000 3.127249
102.446980 21.570779 1.000000 4.650032
120.175758 23.355021 0.000000 3.386021
99.640262 21.044168 0.000000 2.720614
93.049982 15.493457 3.000000 4.432219
104.849185 22.943623 1.000000 5.225047
91.298898 20.823020 0.000000 3.017937
69.109593 19.904830 0.000000 1.739347
85.432317 18.375535 0.000000 1.953190
86.102315 25.374589 0.000000 0.490059
129.205992 25.650137 0.000000 1.801470
85.682489 16.785256 0.000000 6.668531
106.943527 20.749622 4.000000 7.639792
94.539160 22.047919 0.000000 4.566041
91.396182 23.073939 1.000000 6.438439
98.706396 18.732530 0.000000 2.642020
97.991310 24.353672 1.000000 2.168052
93.251995 21.961096 2.000000 4.487698
100.408070 20.893190 3.000000 1.236113
71.361344 19.832137 3.000000 1.945861
103.597627 14.545078 2.000000 8.319127
94.698524 23.897375 3.000000 6.236273
93.561679 16.414011 0.000000 7.252183
121.829559 20.249854 2.000000 6.608938
94.929597 16.303215 1.000000 6.024085
99.132238 22.801629 0.000000 5.221992
94.092662 20.863478 0.000000 5.076221
107.055372 26.133063 2.000000 6.143977
107.766961 21.607893 1.000000 5.008876
117.794619 22.508979 1.000000 6.262970
85.326169 22.623727 0.000000 1.994241
78.121657 15.956567 2.000000 2.383451
107.440882 19.074275 2.000000 8.597076
105.830763 18.493694 0.000000 3.478962
83.317269 15.876950 0.000000 4.230717
103.033132 21.235773 1.000000 5.902375
71.307605 17.497360 2.000000 4.200603
87.359462 23.856828 0.000000 3.005788
104.522119 17.036429 0.000000 4.678826
107.309980 20.674243 2.000000 7.942787
101.114005 22.485783 1.000000 1.014997
105.456125 15.884204 0.000000 4.065053
73.158241 17.277127 5.000000 2.998219
115.482612 15.334691 1.000000 5.756074
95.125421 21.230943 2.000000 3.331909
104.566446 22.158719 1.000000 1.098879
104.947301 21.363069 1.000000 4.095565
96.361545 18.886403 0.000000 4.742410
70.215291 19.287227 1.000000 8.734274
107.486906 19.769308 2.000000 4.880786
79.865552 23.875678 1.000000 7.512774
99.241007 17.973263 1.000000 6.023276
110.601029 13.161954 2.000000 4.381287
89.074392 23.452431 1.000000 7.871523
84.324194 17.740366 0.000000 8.262013
116.662569 17.033141 0.000000 5.090580
113.093487 21.131518 2.000000 7.427137
109.111214 19.000036 1.000000 8.253054
111.237317 20.006107 1.000000 7.836230
100.967572 23.857665 0.000000 2.699765
102.094116 19.408614 1.000000 5.073646
