# Radius Velocity Satellites Factor
94.519889 12.175583 1.000000 8.974926
117.175690 18.852242 2.000000 6.470157
95.252202 14.751421 4.000000 7.255961
47.039460 22.258686 0.000000 8.807677
125.629099 25.101591 5.000000 4.710205
95.869080 16.034946 1.000000 3.892727
88.546949 21.908948 1.000000 9.385977
117.471171 22.267197 2.000000 5.781261
92.541367 18.726024 0.000000 2.393424
124.751033 28.238625 1.000000 4.016800
86.344704 12.469912 5.000000 4.833881
81.991535 24.077595 3.000000 8.048140
104.593763 15.887168 3.000000 5.512761
73.034435 11.667810 4.000000 6.615980
110.893971 20.043432 4.000000 7.815788
83.293629 18.495656 2.000000 8.184282
102.308544 16.570008 2.000000 5.394606
102.263586 15.153500 5.000000 2.224718
72.662181 12.337996 4.000000 7.677590
114.196839 12.419769 3.000000 4.167473
105.360297 12.930640 3.000000 5.660303
103.552338 16.092718 1.000000 5.064639
78.251720 18.089074 6.000000 2.574156
76.293334 23.233759 2.000000 3.437242
105.168398 18.892860 2.000000 4.991538
71.896850 20.720157 4.000000 2.128081
100.410944 10.041010 3.000000 3.882087
93.617471 19.744042 5.000000 6.571397
83.305904 16.033865 1.000000 7.080750
100.300519 22.125646 5.000000 3.919585
49.860451 20.849868 1.000000 5.142815
104.505935 15.588058 3.000000 3.139031
101.524949 9.919657 2.000000 7.318695
110.217504 11.542852 4.000000 8.230692
97.647442 11.684062 1.000000 4.554413
95.134407 25.553880 1.000000 5.543676
75.401776 18.107943 3.000000 5.634447
101.764526 20.081389 2.000000 5.864445
87.099707 23.994931 1.000000 6.297663
129.739927 16.112180 3.000000 2.982063
100.209940 23.726370 3.000000 4.817763
74.197917 19.954022 3.000000 3.176097
93.195651 17.059547 1.000000 4.713850
111.181769 18.648411 2.000000 7.879291
106.383813 24.237275 5.000000 6.006974
108.257494 13.818001 2.000000 6.149373
88.929054 24.173015 6.000000 7.076150
60.069595 18.301833 3.000000 4.593063
66.412255 17.117766 3.000000 8.088962
120.869351 18.519753 2.000000 4.395478
89.868528 15.480393 3.000000 5.719539
79.969037 19.157875 5.000000 3.800239
109.476793 15.547040 3.000000 8.086955
123.246514 14.499856 6.000000 1.594016
128.359900 21.900354 4.000000 4.209232
80.046037 16.907288 2.000000 7.118961
99.949551 12.894654 2.000000 5.799094
94.740532 14.237400 2.000000 4.605472
105.882922 19.217218 2.000000 1.705434
118.161800 11.055662 3.000000 7.524558
102.411726 13.262616 1.000000 2.553485
98.228024 16.530938 6.000000 9.856638
71.644732 6.768563 5.000000 7.525647
92.832756 8.957176 3.000000 1.891770
99.633612 18.630003 1.000000 9.119420
100.268778 19.848090 5.000000 5.929420
84.254731 20.160133 3.000000 3.510186
103.585480 13.647019 4.000000 8.674036
79.525213 14.580501 5.000000 4.009665
84.647566 14.381422 7.000000 5.856507
82.628708 25.217299 2.000000 3.907408
116.325803 8.309445 2.000000 6.951586
106.311895 11.393934 3.000000 7.562085
123.623011 13.263490 4.000000 7.534130
97.550551 11.658662 4.000000 0.766141
131.117105 24.462496 1.000000 6.274686
103.419765 17.029189 4.000000 1.348939
111.179978 15.135018 1.000000 6.175019
101.152471 18.463631 2.000000 7.591658
70.589742 17.664236 0.000000 8.009096
107.778596 19.173853 3.000000 5.018567
86.043408 14.327777 3.000000 9.363498
98.749041 20.703566 3.000000 6.665155
108.650848 15.528328 3.000000 7.410487
77.696175 14.592050 2.000000 6.246991
105.644390 17.581819 5.000000 8.628981
157.151081 11.855868 4.000000 2.950544
106.162577 17.746498 6.000000 5.154880
97.061426 15.231622 3.000000 3.963467
89.318699 14.935970 5.000000 4.288355
96.295384 14.459827 5.000000 2.886909
116.849248 22.383617 0.000000 4.319404
106.188359 19.927114 2.000000 5.337380
88.515114 26.419824 4.000000 7.570427
62.399522 16.402073 5.000000 5.181762
79.798183 11.724272 2.000000 8.030607
32.995185 17.794095 3.000000 3.661927
85.838231 21.055650 1.000000 4.803209
115.822741 16.027451 1.000000 4.949825
101.403788 19.821869 2.000000 4.837176
79.165717 14.632707 6.000000 4.967539
114.599959 21.194554 3.000000 4.508985
88.660506 24.460159 6.000000 2.363286
122.421143 14.628117 2.000000 2.529512
87.265569 16.656411 5.000000 8.807051
90.401666 18.957173 1.000000 2.658015
100.165208 14.336746 2.000000 8.134563
67.901493 18.826624 6.000000 3.339535
114.754761 13.738963 3.000000 5.346245
88.851873 8.683081 2.000000 4.954376
93.802336 15.565209 6.000000 2.945854
99.327451 13.089699 1.000000 7.096470
77.230324 19.480457 3.000000 9.679416
95.938380 9.917644 3.000000 6.828784
76.501651 17.501409 2.000000 4.871497
104.544711 13.124156 4.000000 3.774312
92.828060 15.351152 8.000000 1.072841
109.782228 14.706828 2.000000 4.744720
108.960465 19.270436 0.000000 4.112683
96.335624 15.446878 10.000000 5.583961
71.424959 19.549015 1.000000 5.547732
89.261836 18.282101 4.000000 6.122778
120.906471 24.116793 3.000000 6.886565
